"Header & Timestamp";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"36";"37";"38";"39";"40";"41";"42";"43";"44";"45";"46";"47";"48";"49";"50";"51";"52";"53";"54";"55";"56";"57";"58";"59";"60";"61";"62";"63";"64";"65";"66"
"aktualisiert";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27";"2025-06-27"
"TS_ID";"#89115";"#999046";"#999023";"#999027";"#999026";"#999028";"#999029";"#999030";"#999031";"#999032";"#999025";"#999011";"#114108";"#114111";"#123754";"#999005";"#999042";"#999022";"#999035";"#999034";"#999036";"#999037";"#999038";"#999039";"#999040";"#999013";"#999033";"#89111";"#999017";"#999045";"#999014";"#999018";"#89116";"#89109";"#89092m";"#89091m";"#999003m";"#89093m";"#89096m";"#89095m";"#89097m";"#99108m";"#99105m";"#156858m";"#99106m";"#129589m";"#89101";"#248357";"#113482m";"#99107m";"#129590m";"#89103m";"#228658m";"#123739";"#999012";"#89110m";"#999033";"#999025";"#89108";"#999004m";"#156854m";"#156855m";"#156856m";"#156857m";"#114110m";"#114112m"
"ZA";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn";"mn"
"KOMP";"Eigenbedarf von Kraftwerken (aus eigener Erzeugung)";"Energieinhalt Speicher ";"Erzeugungskoeffizient";"Exporte";"Exporte";"Exporte";"Exporte";"Exporte";"Exporte";"Exporte";"Exporte";"Exporte";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromverbrauch";"Abgabe an Endverbraucher";"Arbeitsvermögen";"Importe";"Importe";"Importe";"Importe";"Importe";"Importe";"Importe";"Importe";"Importe";"Inlandstromverbrauch";"Eigenbedarf von Kraftwerken (Bezug aus dem öffentlichen Netz)";"Nennenergieinhalt";"Netzabgabe";"Netzverluste";"Stromverbrauch";"Verbrauch für Pumpspeicherung (PSP)";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung (Stat, Differenz)";"Endverbrauch";"Eigenbedarf";"Netzverluste";"Inlandstromverbrauch";"Importe";"Exporte";"Verbrauch für Pumpspeicherung (PSP)";"Brutto-Stromverbrauch";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung";"Brutto-Stromerzeugung"
"Gliederung1";"_";"Hydr";"Hydr";"CEZ";"CH";"DE";"HU";"ITA";"LIE";"SLO";"_";"_";"Hydr";"Hydr";"_";"_";"_";"Kal";"CEZ";"CH";"DE";"HU";"ITA";"LIE";"SLO";"_";"_";"_";"_";"Hydr";"_";"_";"_";"_";"Hydr";"Hydr";"Hydr";"Kal";"Kal";"Kal";"Kal";"Kal";"Kal";"Kal";"Kal";"Kal";"Wind";"PV";"Geo";"WPVGeo";"";"Unb";"";"";"";"";"";"";"";"";"Kal";"Kal";"Kal";"Kal";"Hydr";"Hydr"
"Gliederung2";"_";"Sp";"Lf";"_";"_";"_";"_";"_";"_";"_";"_";"_";"Lf";"Sp";"_";"_";"_";"_";"_";"_";"_";"_";"_";"_";"_";"_";"_";"_";"_";"Sp";"_";"_";"_";"_";"Lf";"Sp";"";"Sk";"DvfB";"DvOe";"Gas";"Foss";"Bio";"SoBio";"SoBr";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"BioFe";"BioFl";"BioG";"KDG";"Lf";"Sp"
"Gliederung3";"_";"EPL_10+";"EPL_10+";"_";"_";"_";"_";"_";"_";"_";"_";"_";"EPL_10+";"EPL_10+";"_";"_";"_";"EPL_10+";"_";"_";"_";"_";"_";"_";"_";"_";"_";"_";"_";"EPL_10+";"_";"_";"_";"_";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"EPL_10-";"EPL_10-"
"VO";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Best";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr";"Betr"
"REG";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT";"AT"
"N";"Oef";"Oef";"Oef";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Oef";"Ges";"Ges";"Oef";"Oef";"Oef";"Oef";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Oef";"Ges";"Oef";"Oef";"Oef";"Oef";"Oef";"Oef";"Oef";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges";"Ges"
