Gesamte Elektrizitätsversorgung in Österreich;;;;;;;;;;;;;;;;;;;
inkl. Abschätzung von Verbrauch bzw. Erzeugung von Klein(st)anlagen;;;;;;;;;;;;;;;;;;;
Brutto-Stromerzeugung nach Energieträgern 2023;;;;;;;;;;;;;;;;;;;
(Datenstand: Mai 2024);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Monat;WASSERKRAFTWERKE (1);;;WÄRMEKRAFTWERKE (1);;;;;;;;;;"Wind-
kraftwerke";"Photo-
voltaik
(5)";"Geo-
thermie";"Summe
Wind-
kraftwerke, 
Photovoltaik,
Geothermie";"Sonstige Erzeugung (Statistische Differenz)
(6)";Gesamt
;"Laufkraft-
werke";"Speicher-
kraftwerke";"Summe
Wasser-
kraft";Fossile Brennstoffe und Derivate;;;;;"Summe
Fossile
Brennstoffe
und Derivate";"Biogene
Brenn-
stoffe (3)";"Sonstige
Biogene
(4)";Sonstige Brennstoffe;Summe Wärmekraft-werke;;;;;;
;;;;"Stein-
kohle";"Braun-
kohle";"Derivate
(2)";"Heizöl und
Derivate";"Erdgas
und
Derivate";;;;;;;;;;;
2023;;;;;;;;;;;;;;;;;;;
Einheit;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh
Jänner;1 658,9  ;1 158,3  ;2 817,2  ;3,1  ;0,0  ;151,2  ;75,6  ;1 148,9  ;1 378,8  ;285,0  ;112,8  ;72,8  ;1 849,3  ;847,2  ;126,3  ;0,0  ;973,5  ;0,0  ;5 640,0  
Februar;1 667,1  ;938,3  ;2 605,4  ;4,2  ;0,0  ;127,4  ;65,9  ;1 142,2  ;1 339,6  ;266,6  ;108,3  ;69,7  ;1 784,2  ;827,5  ;261,9  ;0,0  ;1 089,4  ;0,0  ;5 479,0  
März;1 961,1  ;1 125,4  ;3 086,5  ;5,7  ;0,0  ;180,0  ;72,3  ;888,5  ;1 146,7  ;296,2  ;112,7  ;62,5  ;1 618,0  ;832,5  ;365,5  ;0,0  ;1 198,0  ;0,0  ;5 902,6  
April;2 574,2  ;1 001,8  ;3 576,1  ;1,9  ;0,0  ;174,4  ;61,6  ;710,6  ;948,4  ;263,8  ;102,9  ;69,9  ;1 385,0  ;716,1  ;406,5  ;0,0  ;1 122,6  ;0,0  ;6 083,6  
Mai;3 781,0  ;1 467,9  ;5 248,9  ;0,6  ;0,0  ;183,3  ;56,9  ;333,6  ;574,4  ;275,9  ;113,1  ;75,0  ;1 038,4  ;582,7  ;548,0  ;0,0  ;1 130,7  ;0,0  ;7 418,0  
Juni;2 978,2  ;1 473,9  ;4 452,1  ;2,4  ;0,0  ;175,9  ;34,7  ;126,5  ;339,4  ;218,4  ;96,4  ;68,7  ;722,9  ;335,8  ;656,9  ;0,0  ;992,7  ;0,0  ;6 167,7  
