1990 150 148 0.62 600.0
1991 150 148 0.62 600.0
1992 60 59 0.62 600.0
1993 NO NO 0.62 600.0
1994 NO NO 0.62 600.0
1995 NO NO 0.62 600.0
1996 NO NO 0.62 600.0
1997 NO NO 1.95 600.0
1998 NO NO 1.95 770.0
1999 NO NO 1.95 690.0
2000 NO NO 1.95 0.0
2001 NO NO 1.84 0.0
2002 NO NO 1.72 0.0
2003 NO NO 1.61 0.0
2004 NO NO 1.49 0.0
2005 NO NO 1.38 0.0
2006 NO NO 1.27 29.9
2007 NO NO 1.15 12.6
2008 NO NO 1.04 13.4
2009 NO NO 2.91 3.3
2010 NO NO 3.85 12.0
2011 NO NO 3.96 6.8
2012 NO NO 3.94 3.0
2013 NO NO 4.09 1.5
2014 NO NO 4.98 12.0
2015 NO NO 4.92 1.5
2016 NO NO 4.72 3.0
2017 NO NO 5.43 3.0
2018 NO NO 4.70 4.2
2019 NO NO 4.93 0.3
2020 NO NO 4.86 NO
2021 NO NO 6.22 NO
