STATcube;;;;
;;;;
Versorgungsbilanz für Fleisch nach Arten ab 1994 in Tonnen (Q);;;;
Produkte nach Werte nach Jahr;;;;
Zählt: BRUTTOEIGENERZEUGUNG, Einfuhr lebender Tiere, Ausfuhr lebender Tiere, NETTOERZEUGUNG, Anfangsbestand, Endbestand, Einfuhr, Ausfuhr, INLANDSVERBRAUCH, Inlandsverbrauch pro Kopf in kg, SELBSTVERSORGUNGSGRAD in %, Menschlicher Verzehr, Menschlicher Verzehr pro Kopf in kg;;;;
;;;;
Produkte;Werte;Jahr;Anzahl;Anmerkungen
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2019;910947;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2020;909078;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2021;904825;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2022;878551;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2023;852892;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;1994;853339;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;1995;818008;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;1996;860982;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;1998;866096;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;1999;886256;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;1997;850161;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2000;867405;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2001;859905;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2002;864819;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2003;875027;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2004;867888;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2006;859498;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2005;850781;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2007;892611;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2008;891175;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2010;922557;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2009;907131;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2011;923687;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2012;905593;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2013;906513;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2014;910297;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2015;914497;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2016;906876;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2017;902064;
Fleisch insgesamt;BRUTTOEIGENERZEUGUNG;2018;911643;
Fleisch insgesamt;Einfuhr lebender Tiere;2019;85845;
Fleisch insgesamt;Einfuhr lebender Tiere;2020;82694;
Fleisch insgesamt;Einfuhr lebender Tiere;2021;83954;
