1990 NO NO NO NO NO NO
1991 NO NO NO NO NO NO
1992 0.01 NO NO NO NO NO
1993 1.03 NO 226.31 0.18 NO NO
1994 11.49 0.61 236.59 NO NO NO
1995 28.70 6.21 300.56 NO 4.50 NO
1996 59.24 12.93 326.05 NO 9.00 NO
1997 103.52 23.59 350.24 NO 13.49 NO
1998 160.93 35.76 375.70 0.00 17.99 NO
1999 227.14 51.83 379.29 0.00 22.49 NO
2000 301.44 71.21 277.53 0.04 26.99 0.38
2001 390.50 91.13 282.74 4.06 31.47 1.14
2002 480.25 111.72 299.65 2.38 33.79 1.90
2003 560.49 130.11 265.08 0.42 32.50 2.29
2004 612.28 152.81 243.69 4.56 34.03 1.15
2005 661.91 175.37 155.03 7.39 42.28 NO
2006 705.73 210.43 49.26 6.95 57.13 NO
2007 728.39 228.44 49.17 6.47 52.16 NO
2008 781.76 254.55 28.94 12.79 24.00 NO
2009 866.99 269.70 33.99 13.06 21.37 NO
2010 968.56 289.25 34.43 13.06 21.88 NO
2011 1074.89 303.72 17.58 15.11 21.92 NO
2012 1158.52 312.72 17.40 14.90 22.56 NO
2013 1255.83 316.30 17.22 12.74 24.54 NO
2014 1352.47 316.73 17.04 13.61 25.58 NO
2015 1474.33 323.03 16.87 13.70 26.16 NO
2016 1484.33 327.02 16.70 13.17 27.22 NO
2017 1515.47 315.88 16.53 14.23 27.26 NO
2018 1591.00 299.89 16.36 25.08 28.28 NO
2019 1512.09 275.17 17.60 13.99 28.15 NO
2020 1439.05 257.08 18.72 12.78 25.88 NO
