Category;1990;2000;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Total Emissions/Removals with LULUCF;65,659;63,156;77,937;82,248;79,877;77,544;71,191;73,517;72,043;71,162;75,69;67,227;75,085;72,012;78,039;81,117;86,497;73,596;74,604;73,222;76,15
Total Emissions without LULUCF;79,427;81,208;93,165;90,739;87,935;87,347;80,736;85,284;83,093;80,327;80,71;77,057;79,201;80,15;82,468;79,289;80,507;74,56;77,976;73,439;68,635
1.  Energy;52,835;52,835;66,889;64,097;60,664;59,709;56,569;59,453;57,141;54,997;55,169;51,439;53,218;54,441;56,154;54,708;55,093;50,142;52,042;48,434;44,451
A.   Fuel Combustion (Sectoral Approach);51,893;54,754;66,239;63,415;59,973;59,056;55,865;58,765;56,463;54,307;54,487;50,797;52,595;53,855;55,535;54,156;54,567;49,641;51,575;47,999;44,044
1. Energy Industries;14,008;12,314;16,025;14,821;13,616;13,447;12,437;13,747;13,354;11,974;10,973;9,353;10,458;10,24;10,852;10,003;10,035;8,667;8,686;8,173;7,292
2. Manufacturing Industries and Construction;9,609;10,023;11,363;11,192;10,753;11,096;10,568;11,189;11,153;11,021;10,766;10,373;10,248;10,583;10,816;10,926;10,994;10,758;11,172;10,74;9,633
3. Transport;13,95;18,792;24,93;23,664;23,888;22,418;21,761;22,569;21,919;21,735;22,914;22,228;22,705;23,537;24,267;24,387;24,439;21,122;21,916;20,765;19,842
4. Other Sectors;14,287;13,582;13,883;13,7;11,68;12,062;11,067;11,231;10,011;9,551;9,81;8,819;9,162;9,472;9,573;8,812;9,071;9,065;9,773;8,292;7,25
5. Other;38;42;38;37;35;33;31;30;28;26;25;23;22;23;28;29;29;29;29;28;28
B.   Fugitive Emissions from Fuels;942;705;650;682;691;653;704;687;678;689;682;642;623;586;619;552;525;501;467;435;407
1. Solid Fuels;373;30;0,2;0,2;;;;;;;;;NO,IE,NA;;;;;;;;
2. Oil and Natural Gas;569;675;650;682;691;653;704;687;678;689;682;642;623;586;619;552;525;501;467;435;407
C.   CO2Transport and Storage;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
2.  Industrial Processes and Other Product Use;13,641;14,454;15,651;16,163;16,936;17,324;14,001;15,965;16,161;15,728;16,096;16,171;16,61;16,321;17,077;15,499;16,469;15,516;17,023;16,161;15,463
A.    Mineral Industry;3,138;2,775;2,903;3,056;3,272;3,285;2,729;2,673;2,797;2,715;2,73;2,73;2,753;2,797;2,807;2,917;2,825;2,837;3,04;2,917;2,561
B.    Chemical Industry;1,464;1,523;922;965;888;983;780;778;782;756;694;808;779;799;741;640;837;779;785;679;670
C.    Metal Industry;8,304;8,489;9,8;10,154;10,714;10,962;8,55;10,42;10,43;10,085;10,47;10,409;10,825;10,388;11,159;9,47;10,376;9,518;11,039;10,449;10,223
D.   Non-Energy Prod- ucts from Fuels and Solvent Use;349;217;182;178;179;176;172;171;167;158;155;150;144;146;151;153;153;159;170;178;162
